테이블명 : TB_VENDOR_INFO 벤더정보

NO	컬럼명	데이터 타입	KEY	NOT NULL	Default	Comment	
1	VENDORID	NUMBER	PK	NOT NULL		업체 ID	
2	VENDOR_CODE	VARCHAR(20)		NOT NULL		업체 코드	
3	VENDOR_NAME	VARCHAR(50)		NOT NULL		업체명	
4	VENDOR_TYPE	VARCHAR(100)		NOT NULL		업체 구분	
5	BIZ_REG_NO	VARCHAR(20)		NULL		사업자등록번호	
6	BIZ_TYPE	VARCHAR(50)		NULL		업태	
7	BIZ_ITEM	VARCHAR(50)		NULL		종목	
8	CEO_NAME	VARCHAR(50)		NULL		대표차명	
9	TEL_NO	VARCHAR(20)		NULL		대표전화번호	
10	EMAIL	VARCHAR(100)		NULL		대표이메일	
11	ADDRESS	VARCHAR(255)		NULL		회사주소	
12	MANAGER_NAME	VARCHAR(50)		NULL		담당자명	
13	MANAGER_PHONE	VARCHAR(20)		NULL		담당자 연락처	
14	MANAGER_EMAIL	VARCHAR(100)		NULL		담당자 이메일	
15	STATUS	VARCHAR(20)		NULL		거래상태	
16	REMARKS	TEXT		NULL		비고	
17	USEYN	CHAR(1)		NOT NULL	"Y"	사용여부	
18	REG_DATE	VARCHAR(50)		NOT NULL		등록일	
19	REG_USERID	DATETIME		NOT NULL		등록자ID	
20	UPDATE_DATE	VARCHAR(50)		NULL		수정일	
21	UPDATE_USERID	DATETIME		NULL		수정자ID	
